link_id,from_node_id,to_node_id,dir_flag,geometry,length
46,4783,215,1,"LINESTRING (-80.8718818 28.6713266, -80.8717728 28.6707096, -80.8711996 28.6687782, -80.8710963 28.6683836, -80.870989 28.6680923, -80.8708122 28.6675727, -80.8704534 28.6666653)",537.5060907
47,4832,4834,1,"LINESTRING (-80.7634937 28.402738, -80.7635912 28.4029265, -80.7636327 28.4029706, -80.7637026 28.4030538, -80.7637831 28.4031234, -80.7638595 28.4031694, -80.7639695 28.403213, -80.7640996 28.4032419, -80.7642693 28.403269)",102.787929
48,222,223,1,"LINESTRING (-80.8020512 28.3712183, -80.8028765 28.3730476, -80.8030027 28.3733261, -80.8036331 28.3743127)",378.0414517
49,225,226,1,"LINESTRING (-80.7512362 28.3992216, -80.7514444 28.3991692, -80.7516161 28.3991739, -80.7518843 28.3992636, -80.7520506 28.3993721, -80.7522831 28.3996135)",121.4831579
50,223,9450,1,"LINESTRING (-80.8036331 28.3743127, -80.8036938 28.3745166, -80.8036648 28.3746584, -80.8036205 28.3747476, -80.8035162 28.3748933)",69.42923532
51,5416,229,1,"LINESTRING (-80.7420432 28.2917027, -80.7416046 28.2913502, -80.7411365 28.29099, -80.7409232 28.2908015, -80.7407601 28.2906125, -80.7406743 28.2903782, -80.7406571 28.2901062, -80.7407258 28.2898492, -80.7408373 28.2896602, -80.7410433 28.2894713, -80.7412923 28.2893277, -80.7415755 28.2892672, -80.7418936 28.2892684)",403.6463437
52,4785,234,1,"LINESTRING (-80.7058415 28.1165554, -80.7057498 28.1170184, -80.7056897 28.1177225, -80.705621 28.1180934, -80.7053979 28.1190321, -80.7053378 28.119509, -80.7053274 28.1199815)",385.1177687
53,215,9325,1,"LINESTRING (-80.8704534 28.6666653, -80.8704551 28.6665458, -80.8704896 28.6664538, -80.8705367 28.6663816, -80.8706099 28.6663196, -80.8707211 28.6662719)",55.31154162
54,9322,235,1,"LINESTRING (-80.870536 28.6661575, -80.8704458 28.6661245, -80.8703676 28.6660867, -80.8702523 28.6660075, -80.8701345 28.6659014)",49.00277731
55,9326,214,1,"LINESTRING (-80.870066 28.6662849, -80.8701367 28.6662258, -80.8701737 28.6661678)",16.91805851
56,237,4826,1,"LINESTRING (-80.7739994 28.4035301, -80.7717335 28.4028355, -80.7709182 28.4025423, -80.7700685 28.4021874, -80.7691587 28.4017722, -80.7643198 28.3992165)",1065.168602
57,240,11579,1,"LINESTRING (-80.8511098 28.6123812, -80.8510109 28.6131141, -80.8507357 28.6148192, -80.8507234 28.6154085, -80.8507074 28.6156345, -80.8507048 28.6161142, -80.8507034 28.6163373, -80.8507103 28.6165396)",464.9270002
58,250,249,1,"LINESTRING (-80.839678 28.5001334, -80.8400144 28.499798, -80.8402811 28.4996719, -80.8405385 28.4996354, -80.8408276 28.4996426, -80.8411855 28.4997585)",170.3228626
59,249,207,1,"LINESTRING (-80.8411855 28.4997585, -80.8414139 28.4999175, -80.8415992 28.5002023, -80.8416709 28.5005682, -80.8416445 28.5009969, -80.8415175 28.5013365, -80.8413476 28.5016054, -80.8411323 28.5018543, -80.8409 28.5020385, -80.8406224 28.5021879, -80.8403051 28.5022526, -80.8399625 28.5022638, -80.8396362 28.5021873, -80.8393135 28.5020312, -80.8390379 28.5017985, -80.8387927 28.5015896)",530.1207809
60,5427,5426,1,"LINESTRING (-80.7968845 28.3630135, -80.7967402 28.362625, -80.7965444 28.3621898, -80.7959372 28.360911, -80.795566 28.3602714)",331.4620659
61,5426,7422,1,"LINESTRING (-80.795566 28.3602714, -80.795566 28.3601581, -80.7956003 28.360075, -80.7956861 28.3599769, -80.7958457 28.3599076)",53.6086988
62,7421,253,1,"LINESTRING (-80.7950746 28.3599128, -80.7952234 28.35983)",17.22676403
63,253,5423,1,"LINESTRING (-80.7952234 28.35983, -80.7952771 28.3597298, -80.7952878 28.3595846, -80.795257 28.3594784)",40.68543672
64,5423,5422,1,"LINESTRING (-80.795257 28.3594784, -80.7950681 28.3591762, -80.7948621 28.3588741, -80.7945617 28.3585267, -80.7931455 28.3570538, -80.7928966 28.3567517, -80.7927089 28.3565294, -80.7924031 28.356223)",458.240238
65,219,9324,1,"LINESTRING (-80.8690487 28.6658294, -80.8690257 28.6659903, -80.8689695 28.6660855, -80.8689052 28.6661376, -80.8687704 28.6661983)",53.27491096
66,5425,7424,1,"LINESTRING (-80.7936873 28.3592648, -80.7937646 28.3594671, -80.7937678 28.3595418, -80.7937534 28.3595983, -80.7937125 28.3596538, -80.7936304 28.3597347)",57.89908312
