name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes,is_zone
,5436,41408095,traffic_signals,128,signal,motorway,0,-111.9822942,33.4481605,,,,FALSE
,5437,1215654865,,128,,motorway,0,-111.9819924,33.4479448,,,,FALSE
,5438,2281679242,,128,,motorway,0,-111.980528,33.4440879,,,,FALSE
,5439,9087350202,,128,,motorway,0,-111.9809232,33.4466126,,,,FALSE
,5440,2281679238,,128,,motorway,0,-111.9809899,33.4440762,,,,FALSE
,5441,10608678222,,128,,motorway,0,-111.9814425,33.4485936,,,,FALSE
,5442,2286307605,traffic_signals,128,signal,motorway,0,-111.995494,33.4094818,,,,FALSE
,5443,256629349,traffic_signals,128,signal,motorway,0,-111.995343,33.4095361,,,,FALSE
,5444,2286307606,,128,,motorway,0,-111.9964206,33.4095533,,,,FALSE
,5445,2286307603,,128,,motorway,0,-111.9955767,33.4094744,,,,FALSE
,5446,4347932425,,128,,motorway,0,-111.9964313,33.4095575,,,,FALSE
,5447,256192440,,128,,motorway,0,-111.9737624,33.4115508,,,,FALSE
,5448,41489918,,128,,motorway,0,-111.979992,33.4096811,,,,FALSE
,5449,41489923,motorway_junction,128,,motorway,0,-111.9789798,33.4093631,,,,FALSE
,5450,256193730,,128,,motorway,0,-111.9708504,33.4070668,,,,FALSE
,5451,41350692,motorway_junction,143,,motorway,0,-111.9673673,33.3846973,,,,FALSE
,5452,1361961292,,127,,primary,0,-112.0216078,33.437311,,,,FALSE
,5453,147417922,,97,,motorway,0,-112.0413682,33.5390148,,,,FALSE
,5454,5134706092,,97,,motorway,0,-112.0407914,33.5413795,,,,FALSE
,5455,795251600,,112,,motorway,0,-112.0442953,33.4955835,,,,FALSE
,5456,3358881124,traffic_signals,112,signal,motorway,0,-112.04398,33.4948243,,,,FALSE
,5457,165713365,,112,,motorway,0,-112.0438151,33.5008054,,,,FALSE
,5458,2297839384,traffic_signals,112,signal,motorway,0,-112.0387517,33.4761424,,,,FALSE
,5459,3358878148,traffic_signals,112,signal,motorway,0,-112.043851,33.4946643,,,,FALSE
,5460,2297839470,traffic_signals,112,signal,motorway,0,-112.04349,33.4971896,,,,FALSE
,5461,42631097,,112,,motorway,0,-112.0435727,33.4999736,,,,FALSE
,5462,795251653,traffic_signals,112,signal,motorway,0,-112.0442773,33.4927199,,,,FALSE
,5463,41709440,,97,,motorway,0,-112.0437469,33.5131013,,,,FALSE
,5464,2299556382,traffic_signals,97,signal,motorway,0,-112.043856,33.515263,,,,FALSE
,5465,257764795,,97,,motorway,0,-112.04487,33.513268,,,,FALSE
,5466,41709438,traffic_signals,97,signal,motorway,-1,-112.044791,33.5128975,,,,FALSE
,5467,3728806871,,97,,motorway,0,-112.0456092,33.5128911,,,,FALSE
,5468,2301213337,,158,,motorway,0,-111.9727538,33.3480907,,,,FALSE
,5469,41267584,,158,,motorway,0,-111.9723975,33.3429748,,,,FALSE
,5470,8901029456,,158,,motorway,0,-111.9714892,33.3473221,,,,FALSE
,5471,41267591,traffic_signals,158,signal,motorway,0,-111.972792,33.34918,,,,FALSE
,5472,2301213370,traffic_signals,158,signal,motorway,0,-111.972807,33.3489607,,,,FALSE
