name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
West 10th Street,17,5608313.0,18,19,1,24.36,1,30,1000.0,residential,6,"LINESTRING (-111.9400380 33.4190663, -111.9401076 33.4190658, -111.9401698 33.4190650, -111.9403000 33.4190633)",a,1,0,,
West 10th Street,18,5608313.0,19,18,1,24.36,1,30,1000.0,residential,6,"LINESTRING (-111.9403000 33.4190633, -111.9401698 33.4190650, -111.9401076 33.4190658, -111.9400380 33.4190663)",a,1,0,,
East University Drive,19,5614812.0,20,21,1,157.31,2,56,1600.0,secondary,4,"LINESTRING (-111.9366610 33.4219091, -111.9365630 33.4219081, -111.9358451 33.4219117, -111.9356538 33.4219104, -111.9350625 33.4219162, -111.9349690 33.4219161)",a,0,0,,
East 3rd Street,20,5615753.0,22,23,1,41.02,1,40,800.0,unclassified,15,"LINESTRING (-111.9395260 33.4273825, -111.9395770 33.4273848, -111.9397193 33.4273841, -111.9398571 33.4273837, -111.9399672 33.4273845)",a,1,0,,
East 3rd Street,21,5615753.0,23,22,1,41.02,1,40,800.0,unclassified,15,"LINESTRING (-111.9399672 33.4273845, -111.9398571 33.4273837, -111.9397193 33.4273841, -111.9395770 33.4273848, -111.9395260 33.4273825)",a,1,0,,
East 5th Street,22,5619424.0,24,25,1,254.98,1,48,1200.0,tertiary,5,"LINESTRING (-111.9394151 33.4255071, -111.9393853 33.4255064, -111.9392870 33.4255037, -111.9390420 33.4255044, -111.9388370 33.4255050, -111.9382740 33.4255065, -111.9381660 33.4255068, -111.9372279 33.4255094, -111.9370860 33.4255098, -111.9367710 33.4255107, -111.9366724 33.4255110)",a,1,0,,
East 5th Street,23,5619424.0,25,24,1,254.98,1,48,1200.0,tertiary,5,"LINESTRING (-111.9366724 33.4255110, -111.9367710 33.4255107, -111.9370860 33.4255098, -111.9372279 33.4255094, -111.9381660 33.4255068, -111.9382740 33.4255065, -111.9388370 33.4255050, -111.9390420 33.4255044, -111.9392870 33.4255037, -111.9393853 33.4255064, -111.9394151 33.4255071)",a,1,0,,
South McAllister Avenue,24,5624529.0,26,27,1,170.54,1,40,1200.0,tertiary,5,"LINESTRING (-111.9288523 33.4180544, -111.9288521 33.4177470, -111.9288571 33.4176455, -111.9288750 33.4175250, -111.9288928 33.4174421, -111.9289101 33.4173761, -111.9289519 33.4172679, -111.9290111 33.4171412, -111.9290658 33.4170466, -111.9291629 33.4169067, -111.9292636 33.4167865, -111.9294120 33.4166399)",a,1,0,,
South McAllister Avenue,25,5624529.0,27,26,1,170.54,1,40,1200.0,tertiary,5,"LINESTRING (-111.9294120 33.4166399, -111.9292636 33.4167865, -111.9291629 33.4169067, -111.9290658 33.4170466, -111.9290111 33.4171412, -111.9289519 33.4172679, -111.9289101 33.4173761, -111.9288928 33.4174421, -111.9288750 33.4175250, -111.9288571 33.4176455, -111.9288521 33.4177470, -111.9288523 33.4180544)",a,1,0,,
South Packard Drive,26,5630444.0,4,28,1,486.7,1,30,800.0,unclassified,15,"LINESTRING (-111.9290798 33.4242989, -111.9291226 33.4243850, -111.9291911 33.4245463, -111.9292203 33.4246475, -111.9292367 33.4247290, -111.9292440 33.4248062, -111.9292506 33.4248952, -111.9292543 33.4249537, -111.9292564 33.4252977, -111.9292588 33.4256477, -111.9292613 33.4260085, -111.9292620 33.4261150, -111.9292627 33.4261516, -111.9292732 33.4267326, -111.9292840 33.4273261, -111.9292893 33.4279802, -111.9293056 33.4285499, -111.9293060 33.4286668)",a,1,0,,
South Packard Drive,27,5630444.0,28,4,1,486.7,1,30,800.0,unclassified,15,"LINESTRING (-111.9293060 33.4286668, -111.9293056 33.4285499, -111.9292893 33.4279802, -111.9292840 33.4273261, -111.9292732 33.4267326, -111.9292627 33.4261516, -111.9292620 33.4261150, -111.9292613 33.4260085, -111.9292588 33.4256477, -111.9292564 33.4252977, -111.9292543 33.4249537, -111.9292506 33.4248952, -111.9292440 33.4248062, -111.9292367 33.4247290, -111.9292203 33.4246475, -111.9291911 33.4245463, -111.9291226 33.4243850, -111.9290798 33.4242989)",a,1,0,,
East 8th Street,28,5636208.0,29,30,1,13.2,1,48,1200.0,tertiary,5,"LINESTRING (-111.9262379 33.4209763, -111.9261191 33.4209521, -111.9261000 33.4209480)",a,1,0,,
East 8th Street,29,5636208.0,30,29,1,13.2,1,48,1200.0,tertiary,5,"LINESTRING (-111.9261000 33.4209480, -111.9261191 33.4209521, -111.9262379 33.4209763)",a,1,0,,
South Forest Avenue,30,5640924.0,31,32,1,141.07,1,24,1000.0,residential,6,"LINESTRING (-111.9366324 33.4174773, -111.9366283 33.4173869, -111.9366279 33.4173593, -111.9366160 33.4164391, -111.9366153 33.4163183, -111.9366156 33.4162727, -111.9366150 33.4162050)",a,1,0,,
South Forest Avenue,31,5640924.0,32,31,1,141.07,1,24,1000.0,residential,6,"LINESTRING (-111.9366150 33.4162050, -111.9366156 33.4162727, -111.9366153 33.4163183, -111.9366160 33.4164391, -111.9366279 33.4173593, -111.9366283 33.4173869, -111.9366324 33.4174773)",a,1,0,,
South Forest Avenue,32,5640924.0,32,33,1,162.32,1,24,1000.0,residential,6,"LINESTRING (-111.9366150 33.4162050, -111.9366127 33.4161377, -111.9366121 33.4161007, -111.9366060 33.4154179, -111.9366028 33.4150954, -111.9366013 33.4149437, -111.9365974 33.4148035, -111.9365984 33.4147410)",a,1,0,,
