name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,3669,42404845,turning_circle,,,,,,-111.9311251,33.3223142,,,
,3670,41573932,,,,,,,-111.9264356,33.3877519,,,
,3671,41495421,,,,,,,-111.904874,33.3881478,,,
,3672,42404992,,,,,,,-111.9026862,33.3879741,,,
,3673,42404993,,,,,,,-111.9015361,33.3876874,,,
,3674,42404994,turning_circle,,,,,,-111.8951074,33.3876588,,,
,3675,42405002,,,,,,,-111.883317,33.3885545,,,
,3676,337878735,,,,,,,-111.935034,33.3879972,,,
,3677,41800337,,,,,,,-111.9307479,33.387152,,,
,3678,41779149,,,,,,,-111.9154087,33.3875851,,,
,3679,42405014,,,,,,,-111.9116299,33.3873589,,,
,3680,41638563,,,,,,,-111.9091783,33.3876643,,,
,3681,42406235,turning_circle,,,,,,-111.9556753,33.360629,,,
,3682,42002070,,,,,,,-111.9545251,33.360629,,,
,3683,42406271,,,,,,,-111.9493658,33.3603794,,,
,3684,42407695,,,,,,,-111.963161,33.3551195,,,
,3685,42407697,turning_circle,,,,,,-111.9685292,33.3551673,,,
,3686,42001999,,,,,,,-111.9545777,33.3678378,,,
,3687,42407837,,,,,,,-111.9551954,33.36784,,,
,3688,42407866,,,,,,,-111.9459248,33.3680087,,,
,3689,41852605,,,,,,,-111.9338966,33.4066011,,,
,3690,41582920,,,,,,,-111.9310728,33.4066298,,,
,3691,41606480,,,,,,,-111.8893657,33.4061268,,,
,3692,42408005,turning_circle,,,,,,-111.8884946,33.4060951,,,
,3693,42408014,turning_circle,,,,,,-111.9104611,33.4056772,,,
,3694,41662611,,,,,,,-111.9397951,33.4059883,,,
,3695,42408022,turning_circle,,,,,,-111.9378276,33.4059706,,,
,3696,41495631,,,,,,,-111.9042054,33.4065612,,,
,3697,42024281,,,,,,,-111.9005412,33.4065582,,,
,3698,339020701,turning_circle,,,,,,-111.9193306,33.405266,,,
,3699,42408030,,,,,,,-111.9192662,33.4051176,,,
,3700,42208586,,,,,,,-111.9177124,33.4053129,,,
,3701,41896258,,,,,,,-111.8975836,33.4058928,,,
,3702,42408281,,,,,,,-111.9478595,33.4105608,,,
,3703,42408282,,,,,,,-111.949338,33.4105679,,,
,3704,42001826,,,,,,,-111.9521721,33.409832,,,
,3705,42408292,,,,,,,-111.9540746,33.409873,,,
,3706,42408294,,,,,,,-111.9558131,33.4099707,,,
,3707,42408299,,,,,,,-111.9478585,33.410258,,,
,3708,42001827,,,,,,,-111.9521718,33.4096526,,,
,3709,42408860,,,,,,,-111.9577527,33.4230749,,,
,3710,2298312480,,,,,,,-111.9577468,33.4227122,,,
,3711,42408932,turning_circle,,,,,,-111.9493038,33.3718948,,,
,3712,42408991,,,,,,,-111.9472851,33.4254767,,,
,3713,42409007,traffic_signals,,signal,,,,-111.947292,33.4219,,,
,3714,42409009,,,,,,,-111.9472788,33.4206432,,,
,3715,42409017,,,,,,,-111.9472743,33.4177942,,,
,3716,41812218,,,,,,,-111.9472669,33.414644,,,
,3717,42409036,,,,,,,-111.9479611,33.3871889,,,
,3718,41812221,stop,,,,,,-111.947871,33.414646,,,
,3719,42409067,,,,,,,-111.9478647,33.4124864,,,
,3720,42409079,,,,,,,-111.9478595,33.4095102,,,
,3721,41875709,traffic_signals,,signal,,,,-111.9478495,33.4073778,,,
,3722,42409182,,,,,,,-111.949373,33.3617502,,,
,3723,42409185,turning_circle,,,,,,-111.9496733,33.3617519,,,
,3724,42335561,,,,,,,-111.9493669,33.3636721,,,
,3725,42409225,,,,,,,-111.9493632,33.3596721,,,
,3726,42409254,,,,,,,-111.9486972,33.3584712,,,
,3727,42409270,turning_circle,,,,,,-111.9488861,33.3566503,,,
,3728,42413001,,,,,,,-111.9015785,33.4128652,,,
,3729,10692169101,,,,,,,-111.9004167,33.4129498,,,
,3730,42413006,,,,,,,-111.8929905,33.4129498,,,
,3731,41969478,,,,,,,-111.8919843,33.4129453,,,
,3732,7959621921,,,,,,,-111.939019,33.3756539,,,
,3733,42413075,,,,,,,-111.9374781,33.3764605,,,
,3734,42413078,turning_circle,,,,,,-111.9377865,33.3768743,,,
,3735,42413079,turning_circle,,,,,,-111.90102,33.3770618,,,
,3736,42413080,turning_circle,,,,,,-111.900196,33.3770762,,,
,3737,42413098,,,,,,,-111.9027795,33.3770762,,,
,3738,42413100,turning_circle,,,,,,-111.9019298,33.377069,,,
,3739,42414429,,,,,,,-111.9057149,33.3685752,,,
,3740,42414435,turning_circle,,,,,,-111.9140572,33.3686133,,,
,3741,42414436,,,,,,,-111.913053,33.3686133,,,
,3742,42414444,turning_circle,,,,,,-111.8991918,33.3675286,,,
,3743,42414446,,,,,,,-111.8988227,33.3679157,,,
,3744,42414449,,,,,,,-111.8979988,33.3689049,,,
,3745,42414454,,,,,,,-111.8947029,33.369249,,,
,3746,42414457,turning_circle,,,,,,-111.8983507,33.369206,,,
,3747,42416455,turning_circle,,,,,,-111.8971029,33.39551,,,
,3748,42416457,,,,,,,-111.8971716,33.3950514,,,
,3749,3641512632,,,,,,,-111.9165151,33.4161595,,,
,3750,252359001,turning_circle,,,,,,-111.9570664,33.3518309,,,
,3751,42417681,,,,,,,-111.9561956,33.3868277,,,
,3752,42417694,turning_circle,,,,,,-111.9550981,33.4130818,,,
,3753,42417717,,,,,,,-111.9590051,33.3730753,,,
,3754,42417722,turning_circle,,,,,,-111.9595191,33.3726918,,,
,3755,42417741,turning_circle,,,,,,-111.9555457,33.3809468,,,
,3756,41572706,,,,,,,-111.8977637,33.3480299,,,
,3757,41979402,,,,,,,-111.8966069,33.3445413,,,
,3758,3363564245,,,,,,,-111.8967644,33.3444551,,,
,3759,42419842,,,,,,,-111.9041313,33.3371401,,,
,3760,317642363,turning_circle,,,,,,-111.9041828,33.3367529,,,
,3761,42419945,turning_circle,,,,,,-111.8889167,33.3902888,,,
,3762,41575371,,,,,,,-111.9740705,33.3804003,,,
,3763,42420144,turning_circle,,,,,,-111.956481,33.3794729,,,
,3764,252358667,,,,,,,-111.9669368,33.3429908,,,
,3765,41520523,,,,,,,-111.9442498,33.420638,,,
,3766,42001773,,,,,,,-111.9522105,33.4211229,,,
,3767,42423243,,,,,,,-111.9564852,33.4211276,,,
,3768,42423250,turning_circle,,,,,,-111.9594039,33.4211311,,,
