name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,20282,100842250,,,0,,,,-82.0595234,28.7530271,,
,20283,100842251,traffic_signals,,1,,,,-82.0603579,28.7533136,,
,20284,100842258,traffic_signals,,1,,,,-82.0547068,28.5551863,,
,20285,100843257,,,0,,,,-82.1105468,28.6648901,,
,20286,100845106,traffic_signals,,1,,,,-81.9596452,28.9546036,,
,20287,100849346,,,0,,,,-81.9947441,28.8285767,,
,20288,100849664,,,0,,,,-82.1169286,28.6539751,,
,20289,100849775,traffic_signals,,1,,,,-82.1126236,28.6649011,,
,20290,100850133,,,0,,,,-82.054724,28.6099295,,
,20291,100850404,traffic_signals,,1,,,,-82.0607458,28.7564955,,
,20292,100850990,,,0,,,,-81.958275,28.8216568,,
,20293,100850996,,,0,,,,-81.9774983,28.8244621,,
,20294,100851009,,,0,,,,-81.9901945,28.8256538,,
,20295,100851017,,,0,,,,-81.994354,28.8285313,,
,20296,100851049,,,0,,,,-82.053873,28.8472242,,
,20297,100851054,,,0,,,,-82.0585813,28.8477416,,
,20298,100851063,,,0,,,,-82.0682822,28.8537282,,
,20299,100851067,,,0,,,,-82.0739447,28.8601884,,
,20300,100851082,,,0,,,,-82.0868726,28.8719155,,
,20301,100851574,traffic_signals,,1,,,,-82.4932436,27.2256076,,1310
,20302,100851906,traffic_signals,,1,,,,-82.4121944,27.0564126,,
,20303,100852989,,,0,,,,-82.1042995,28.6722251,,
,20304,100853036,traffic_signals,,1,,,,-82.0624673,28.7488545,,
,20305,100854222,,,0,,,,-82.5307022,27.2775858,,
,20306,100856621,,,0,,,,-82.352575,26.945934,,
,20307,100857044,,,0,,,,-82.5586271,27.387319,,
,20308,100859241,,,0,,,,-82.0966217,28.5247242,,
,20309,100859278,,,0,,,,-81.9767601,28.579414,,
,20310,100863476,traffic_signals,,1,,,,-82.5303412,27.3028504,,
,20311,100864447,,,0,,,,-82.9284058,29.9593194,,
,20312,100864468,,,0,,,,-82.5304914,27.3504107,,
,20313,100864655,traffic_signals,,1,,,,-82.9794215,30.3049547,,
,20316,100874194,traffic_signals,,1,,,,-82.5304764,27.3486149,,
,20317,100874827,,,0,,,,-82.9321828,29.9658456,,
,20318,100875302,,,0,,,,-82.453676,27.127504,,
,20319,100878373,,,0,,,,-82.4079935,27.0508894,,
,20320,100880810,,,0,,,,-82.941119,30.0444449,,
,20321,100883511,traffic_signals,,1,,,,-82.4901107,27.1962137,,
,20322,100883513,traffic_signals,,1,,,,-82.4902362,27.1962129,,
,20323,100884458,,,0,,,,-82.5055711,27.3879141,,
,20324,100886959,traffic_signals,,1,,,,-82.5467849,27.3388169,,1313
,20325,100886981,,,0,,,,-82.5468799,27.3468876,,
